,Generation,Identity,Population
0,0,00,215.5
1,1,00,232.0
2,2,00,253.0
3,3,00,267.0
4,4,00,286.5
5,5,00,306.5
6,6,00,330.0
7,7,00,349.0
8,8,00,372.5
9,9,00,385.5
10,10,00,409.0
11,11,00,434.0
12,12,00,458.0
13,13,00,479.5
14,14,00,502.5
15,15,00,547.5
16,16,00,584.0
17,17,00,622.5
18,18,00,668.0
19,19,00,702.0
20,20,00,751.5
21,21,00,796.0
22,22,00,841.5
23,23,00,895.5
24,24,00,955.0
25,25,00,1012.5
26,26,00,1062.0
27,27,00,1155.0
28,28,00,1233.5
29,29,00,1301.5
30,30,00,1389.0
31,31,00,1463.0
32,32,00,1569.5
33,33,00,1661.0
34,34,00,1764.5
35,35,00,1886.0
36,36,00,2006.0
37,37,00,2128.0
38,38,00,2247.0
39,39,00,2398.5
40,40,00,2545.0
41,41,00,2702.0
42,42,00,2887.5
43,43,00,3097.5
44,44,00,3322.5
45,45,00,3558.5
46,46,00,3860.0
47,47,00,4268.5
48,48,00,4360.0
49,49,00,4469.5
50,50,00,4627.5
51,51,00,4803.5
52,52,00,5072.0
53,53,00,5456.5
54,54,00,5456.5
55,55,00,5456.5
56,56,00,5456.5
57,57,00,5456.5
58,58,00,5456.5
59,59,00,5456.5
60,60,00,5456.5
61,61,00,5456.5
62,62,00,5456.5
63,63,00,5456.5
64,64,00,5456.5
65,65,00,5456.5
66,66,00,5456.5
67,67,00,5456.5
68,68,00,5456.5
69,69,00,5456.5
70,70,00,5456.5
71,71,00,5456.5
72,72,00,5456.5
73,73,00,5456.5
74,74,00,5456.5
75,75,00,5456.5
76,76,00,5456.5
77,77,00,5456.5
78,78,00,5456.5
79,79,00,5456.5
80,80,00,5456.5
81,81,00,5456.5
82,82,00,5456.5
83,83,00,5456.5
84,84,00,5456.5
85,85,00,5456.5
86,86,00,5456.5
87,87,00,5456.5
88,88,00,5456.5
89,89,00,5456.5
90,90,00,5456.5
91,91,00,5456.5
92,92,00,5456.5
93,93,00,5456.5
94,94,00,5456.5
95,95,00,5456.5
96,96,00,5456.5
97,97,00,5456.5
98,98,00,5456.5
99,99,00,5456.5
100,100,00,5456.5
101,101,00,5456.5
102,102,00,5456.5
103,103,00,5456.5
104,104,00,5456.5
105,105,00,5456.5
106,106,00,5456.5
107,107,00,5456.5
108,108,00,5456.5
109,109,00,5456.5
110,110,00,5456.5
111,111,00,5456.5
112,112,00,5456.5
113,113,00,5456.5
114,114,00,5456.5
115,115,00,5456.5
116,116,00,5456.5
117,117,00,5456.5
118,118,00,5456.5
119,119,00,5456.5
120,120,00,5456.5
121,121,00,5456.5
122,122,00,5456.5
123,123,00,5456.5
124,124,00,5456.5
125,125,00,5456.5
126,126,00,5456.5
127,127,00,5456.5
128,128,00,5456.5
129,129,00,5456.5
130,130,00,5456.5
131,131,00,5456.5
132,132,00,5456.5
133,133,00,5456.5
134,134,00,5456.5
135,135,00,5456.5
136,136,00,5456.5
137,137,00,5456.5
138,138,00,5456.5
139,139,00,5456.5
140,140,00,5456.5
141,141,00,5456.5
142,142,00,5456.5
143,143,00,5456.5
144,144,00,5456.5
145,145,00,5456.5
146,146,00,5456.5
147,147,00,5456.5
148,148,00,5456.5
149,149,00,5456.5
150,150,00,5456.5
151,151,00,5456.5
152,152,00,5456.5
153,153,00,5456.5
154,154,00,5456.5
